City:,Del Perro,Jannington,Freedville,"Indianapolis, IN","Riverside, CA","Orlando, FL","Colorado Springs, CO","Phoenix, AZ","Memphis, TN","Cheasapeake, VA","Lincoln, NE","Omaha, NE","Boise, ID","Jacksonville, FL","North Hempstead, NY","Chula Vista, CA","El Paso, TX","Atlanta, GA","Bakersfield, CA","St. Petersburg, FL","Honolulu, HI","Cincinnati, OH","Tulsa, OK","Cleveland, OH"
Population,"2,000,000.00","12,500,000","3,000,000.00","863,002","327,728",280257,"464,474","1,626,078",652236,"240,397","284,736",466893,"226,570","892,062","232,920","270,471","683,577","486,290","380,874","263,255","988,650","301,301","401,800.00","385,525"
Person under 5,0.05,0.06,0.08,0.075,0.06,0.071,0.067,0.076,0.077,0.063,0.068,0.073,0.06,0.069,0.056,0.068,0.077,0.059,0.086,0.049,0.064,0.073,0.074,0.066
Person under 18,0.2,0.2,0.27,0.248,0.248,0.217,0.24,0.268,0.253,0.245,0.226,0.25,0.226,0.232,0.229,0.261,0.275,0.187,0.303,0.182,0.212,0.221,0.246,0.23
Person 65+,0.1,0.15,0.09,0.111,0.101,0.101,0.123,0.098,0.113,0.119,0.121,0.121,0.127,0.125,0.193,0.117,0.121,0.108,0.092,0.171,0.172,0.116,0.131,0.13
Active Labor Force,"1,300,000","7,375,000","1,680,000","488,459","193,687","171,237","264,750","907,352","363,295","137,747","166,571","259,593","132,997","512,044","121,584","149,841","360,245","314,143","197,674","157,426","545,735","177,768","220,588","221,291"
Household Income,"$75,000 ","$40,000.00 ","$46,000.00 ","$43,101 ","$58,979.00 ","$44,007.00 ","$56,227.00 ","$49,328.00 ","$36,975.00 ","$69,978.00 ","$51,126.00 ","$50,827.00 ","$52,249.00 ","$48,256.00 ","$107,235.00 ","$66,956.00 ","$44,322.00 ","$49,398.00 ","$58,669.00 ","$48,183.00 ","$77,161.00 ","$34,629.00 ","$43,045.00 ","$26,583.00 "
Median Home Value,"$250,000 ","$200,000.00 ","$200,000.00 ","$120,400 ","$286,600.00 ","$172,100.00 ","$222,100.00 ","$178,200.00 ","$93,700.00 ","$256,500.00 ","$150,200.00 ","$139,800.00 ","$191,000.00 ","$140,000.00 ","$642,300.00 ","$402,000.00 ","$119,300.00 ","$222,300.00 ","$214,600.00 ","$154,800.00 ","$602,700.00 ","$120,300.00 ","$126,200.00 ","$67,500.00 "
Median Gross Rent,"$1,300 ",$850.00 ,$850.00 ,$811 ,"$1,194.00 ","$1,040.00 ",$958.00 ,$914.00 ,$842.00 ,"$1,180.00 ",$750.00 ,$819.00 ,$834.00 ,$955.00 ,"$1,737.00 ","$1,351.00 ",$769.00 ,$998.00 ,"$1,005.00 ",$959.00 ,"$1,587.00 ",$662.00 ,$757.00 ,$660.00 
Poverty #,0.2,0.2,0.25,0.209,0.178,0.199,0.128,0.223,0.276,0.095,0.155,0.163,0.141,0.17,0.051,0.122,0.21,0.24,0.197,0.164,0.085,0.299,0.203,0.36
Avg Transportation Time,26.9,30.4,46,23,29.9,25.1,21.4,25.1,21.7,25.7,18,18.6,18.1,24.2,35.2,28,22.6,25.8,22.6,23.3,28.7,22.6,18.3,24.3
College Attainment,0.42,0.34,0.4,0.29,0.226,0.35,0.378,0.274,0.251,0.304,0.371,0.347,0.406,0.27,0.533,0.279,0.236,0.483,0.213,0.322,0.334,0.338,0.307,0.161